prediction,actual_by_student
"JlAK6nk,JlAK6no,JlAK6ns","JlAK6nk,JlAK6no,JlAK6ns"
Jli6Y7Y,Jli6Y7Y
JlAK6lk,JlAK6lk
JlAKyBA,JlAKyBA
"JlAK6mA,Jli6Y7c,Jli6aBU","JlAKyA0,Jli6Y7c,Jli6aBU,JlAK6l0,JlAK6mA"
"JlAK6nk,JlAK6no,JlAK6ns","JlAK6nk,JlAK6no,JlAK6ns"
"JlAK6ls,JlAK6nE,JkxirxA","JlAK6mg,JlAK6nk"
JlAKx_w,JlAKx_w
"JlAKyAk,JkxirxA","Jub5cSY,JlAKyAk,JlAKyA0,JlAKyA4,JlAKyA8,JlAKyBA,JkxirxA,JlAK6lk,JlAK6m8"
JlAKyBA,JlAKyBA
JlAKyBA,"JlAKyA4,JlAKyA8,JlAKyBA,JkxirwY,Jli6WW4,Jli6WW8,Jkxirwk,Jkxirw4,Jli6aBM,Jli6aBU,JlAK6lo,JlAK6lw"
"JlAKx_w,Jkxiryk",JlAKx_w
"JlAKyA4,JlAKyA8,JlAKyBA","JlAKyA4,JlAKyA8,JlAKyBA"
"Jkxiryk,JlAKyBA","JlAKx_k,JlAKyAE,JlAKyA4,JlAKyA8,JlAKyBA,Jkxirwk,Jli6aBU,JlAK6nE"
JlAKyA4,"JlAKyA4,JlAKyA8,JlAKyBA,JkxirwY,Jli6WW4,Jkxirwk,JkxirxA,Jkxirw4"
"JkxirxU,Jkxirxk,JlAK6lo,JlAK6mQ,JlAK6mY,JlAK6mo,JlAK6ms,JlAK6nM","JlAK6lo,JlAK6mI"
JlAKyA4,"JlAKyA0,JlAKyA4,JlAKyA8,JlAKyBA,JlAK6mQ"
"JlAK6lk,Jli6WXI,JkxirxU,JlAK6ms,JlAK6nQ","JkxirwY,Jli6WW4,Jli6WXE,Jli6WXI,JkxirxU,JlAK6mI,JlAK6mg,JlAK6nQ,JlAK6nw"
"JlAKyAw,Jli6Y7Y","JlAKyAw,Jli6Y7Y"
JlAK6nc,JlAK6nc
JlAK6mc,JlAK6mc
"JlAKyA4,JlAKyBA","JlAKyA0,JlAKyA4,JlAKyA8,JlAKyBA"
"JlAK6nc,JlAK6nM,Jli6WXI","JlAK6nc,JlAK6nM"
JlAK6mY,JlAK6mY
JlAKyA8,"JlAKx_k,Jub5cSY,JlAKyA0,JlAKyA4,JlAKyA8,JlAKyBA"
"JkxirwY,Jli6WW4","JkxirwY,Jli6WW4,Jli6WXE,JlAK6mI"
"Jli6aBM,Jli6aBU,Jkxirw4","JlAKx_k,JkxirwY,JkxirxY,JkxirxA,Jkxirw4,Jli6aBM,Jli6aBU,JlAK6nk,JlAK6no,JlAK6nw"
Jli6Y7Y,Jli6Y7Y
JlAKyBA,"JlAKx_k,JlAKyA4,JlAKyA8,JlAKyBA"
"JlAK6lw,JlAK6nk","JlAKyAw,JlAK6lw,JlAK6nk"
"JkxirxA,Jkxirw8","JkxirxA,Jkxirw8"
JlAKyBA,"Jub5cSY,JlAKyA0,JlAKyA4,JlAKyA8,JlAKyBA,JkxirwY,Jli6WW4,Jli6WW8,Jli6WXE,Jkxirwk,JkxirxA,Jkxirw4,JlAK6ng"
"Jub5cSY,JlAKx_k","Jub5cSY,JlAKx_k"
JlAK6nw,"JlAK6lw,JlAK6nc,JlAK6nk,JlAK6ns,JlAK6nw"
"JkxirxY,JlAKx_0,JlAKyAA,JlAKyAE,JlAKyA0,JlAKyA4,JlAKyA8,JlAKyBA","JlAKx_0,JlAKyA0,JkxirwY,Jli6WW4,Jli6WW8,JkxirxY,Jli6TOw,JkxirxA,Jkxirw4,Jli6aBM,Jkxirw8"
"JlAK6l0,Jli6Y7Y,JlAKyAw","JlAKyAw,JkxirwY,Jli6WW4,Jli6WXI,Jli6WXQ,Jli6Y7Y,JkxirxA,Jli6aBM,JlAK6l0"
Jkxirw8,Jkxirw8
Jkxirw4,"Jkxirw4,JlAK6mQ"
JlAK6mo,
Jub5cSY,Jub5cSY
